index,datetime,pm2_5,pm10,no2,so2,co,no,o3,nh3
0,27-11-2020 00:30,83.16,92.36,16.79,7.87,594.14,0,70.1,14.06
1,27-11-2020 01:30,90.66,99.77,14.91,7.63,594.14,0,67.23,14.31
2,27-11-2020 02:30,97.52,106.75,13.37,7.75,607.49,0,62.94,12.79
3,27-11-2020 03:30,101.66,111.12,12.51,7.75,614.17,0,57.22,11.4
4,27-11-2020 04:30,103.59,113.04,12.51,7.51,627.52,0,52.21,10.13
5,27-11-2020 05:30,105.5,115.07,14.57,7.75,660.9,0,45.78,9.12
6,27-11-2020 06:30,109.98,120.72,21.94,9.54,774.38,0.02,37.55,10.51
7,27-11-2020 07:30,120.74,134.52,38.04,13.47,1014.71,0.28,25.03,15.45
8,27-11-2020 08:30,127.73,141.48,40.78,16.21,1028.06,1.9,34.69,16.09
9,27-11-2020 09:30,123.79,133.64,22.96,17.41,767.71,2.4,72.24,11.15
10,27-11-2020 10:30,109.72,116.92,13.02,15.74,614.17,2.29,89.41,8.87
11,27-11-2020 11:30,94.53,99.93,7.97,13.47,507.36,1.5,101.57,7.66
12,27-11-2020 12:30,50.01,52.65,3.43,6.91,353.81,0.71,85.83,4.43
13,27-11-2020 13:30,30.66,32.37,2.72,4.77,307.08,0.6,73.67,3.29
14,27-11-2020 14:30,24.93,26.29,2.55,3.87,300.41,0.5,72.24,2.95
15,27-11-2020 15:30,24.2,25.6,3.51,4.47,310.42,0.59,71.53,3.1
16,27-11-2020 16:30,25.37,27.11,5.57,5.36,333.79,0.65,71.53,3.71
17,27-11-2020 17:30,28.54,30.68,8.23,5.84,363.83,0.29,71.53,4.18
18,27-11-2020 18:30,35.25,38.01,9.68,6.5,393.87,0,73.67,4.62
19,27-11-2020 19:30,47.46,51.3,10.63,7.75,440.6,0,77.25,5.32
20,27-11-2020 20:30,60.91,65.7,10.54,8.7,473.98,0,82.97,5.7
21,27-11-2020 21:30,73.9,79.04,9.85,9.18,480.65,0,87.26,5.57
22,27-11-2020 22:30,86.68,91.68,8.57,9.18,460.63,0,88.69,4.62
23,27-11-2020 23:30,94.67,98.63,7.11,9.06,423.91,0,88.69,3.2
24,28-11-2020 00:30,90.97,93.62,5.1,7.99,383.85,0,87.26,1.84
25,28-11-2020 01:30,88.79,91.25,4.03,7.27,367.17,0,85.83,1.58
26,28-11-2020 02:30,92.22,95.01,3.77,7.75,370.5,0,86.55,1.62
27,28-11-2020 03:30,92.21,94.75,3.86,8.23,373.84,0,85.12,2.01
28,28-11-2020 04:30,87.13,89.16,4.16,8.35,377.18,0,80.11,2.53
29,28-11-2020 05:30,81.27,82.97,4.71,8.35,380.52,0,74.39,2.76
30,28-11-2020 06:30,77.91,79.86,6,8.58,397.21,0,70.1,3.23
31,28-11-2020 07:30,76.67,79.32,8.4,9.54,427.25,0,66.52,3.96
32,28-11-2020 08:30,72.6,75.37,9.43,10.25,440.6,0.03,66.52,4.12
33,28-11-2020 09:30,61.44,63.61,7.11,9.66,407.22,0.11,70.81,3.42
34,28-11-2020 10:30,57.11,59.08,5.83,9.42,397.21,0.17,75.1,3.33
35,28-11-2020 11:30,57.85,59.83,4.76,8.7,387.19,0.2,80.11,3.2
36,28-11-2020 12:30,50.04,51.74,4.07,7.75,383.85,0.26,83.69,2.85
37,28-11-2020 13:30,43.6,45.14,4.46,7.51,390.53,0.22,83.69,2.79
38,28-11-2020 14:30,42.19,43.72,5.1,7.87,400.54,0.16,83.69,3.1
39,28-11-2020 15:30,42.14,43.78,6.77,9.66,427.25,0.12,82.97,3.74
40,28-11-2020 16:30,45.82,47.75,9.25,12.4,473.98,0.08,83.69,4.43
41,28-11-2020 17:30,54.04,56.53,12,14.07,534.06,0.02,82.97,5.07
42,28-11-2020 18:30,62.2,65.27,12.68,13.71,574.11,0,79.39,5.95
43,28-11-2020 19:30,62.46,65.93,12.34,12.52,614.17,0,74.39,7.03
44,28-11-2020 20:30,58.81,62.41,11.48,11.56,634.19,0,71.53,7.79
45,28-11-2020 21:30,53.69,57.1,10.11,10.37,627.52,0,70.1,7.73
46,28-11-2020 22:30,48.96,51.98,9,9.18,607.49,0,68.67,7.16
47,28-11-2020 23:30,44.19,46.51,7.88,7.99,567.44,0,67.95,5.95
48,29-11-2020 00:30,39.94,41.57,6.68,6.97,527.38,0,67.95,4.81
49,29-11-2020 01:30,35.34,36.73,6,6.86,507.36,0,67.23,4.37
50,29-11-2020 02:30,34.61,36.01,5.66,6.74,500.68,0,66.52,4.31
51,29-11-2020 03:30,36.06,37.65,5.74,6.97,500.68,0,63.66,4.43
52,29-11-2020 04:30,38.18,40.09,6.43,7.87,514.03,0,59.37,4.56
53,29-11-2020 05:30,38.74,40.99,7.54,8.58,527.38,0,53.64,4.56
